anonUserID,lesson,condition,preTest,postTest,sessionTime,totalUniqueSteps,learningGain
140,Independent and mutually exclusive events,No-hint control,0.333,1,731,11,0.667
141,Independent and mutually exclusive events,Human tutor,0.666,0.666,705,11,0
142,Solve linear equations using a general strategy,ChatGPT,0.666,1,424,11,0.333
143,Solve Equations Using the Subtraction and Addition Properties of Equality,Human tutor,0.666,0.666,305,11,0
144,Solve Equations Using the Subtraction and Addition Properties of Equality,Human tutor,1,1,478,11,0
145,Solve linear equations using a general strategy,No-hint control,0.666,0,119,11,-0.666
146,Solve Equations Using the Subtraction and Addition Properties of Equality,No-hint control,0,0.666,317,11,0.666
147,Independent and mutually exclusive events,Human tutor,0.333,0.666,891,11,0.333
148,Solve linear equations using a general strategy,ChatGPT,0.666,1,455,11,0.333
149,Independent and mutually exclusive events,No-hint control,0.333,0,835,11,-0.333
150,Solve linear equations using a general strategy,ChatGPT,1,1,281,11,0
151,Solve linear equations using a general strategy,No-hint control,1,1,348,11,0
152,Solve linear equations using a general strategy,No-hint control,0.666,0.333,188,11,-0.333
153,Independent and mutually exclusive events,No-hint control,1,0.666,554,11,-0.333
154,Find a linear equation,ChatGPT,0,0,785,11,0
155,Solve Equations Using the Subtraction and Addition Properties of Equality,ChatGPT,0.666,1,963,11,0.333
156,Solve Equations Using the Subtraction and Addition Properties of Equality,Human tutor,0,0.666,244,11,0.666
157,Solve Equations Using the Subtraction and Addition Properties of Equality,ChatGPT,0,0,375,11,0
158,Solve Equations Using the Subtraction and Addition Properties of Equality,Human tutor,0,0,421,11,0
159,Solve linear equations using a general strategy,No-hint control,0.666,1,337,11,0.333
160,Find a linear equation,ChatGPT,0,1,634,11,1
161,Solve Equations Using the Subtraction and Addition Properties of Equality,Human tutor,0,0.666,1020,11,0.666
162,Find a linear equation,ChatGPT,0,0.666,947,11,0.666
163,Solve Equations Using the Subtraction and Addition Properties of Equality,ChatGPT,0.333,0.666,715,11,0.333
164,Independent and mutually exclusive events,ChatGPT,0.666,0.333,394,11,-0.333
165,Independent and mutually exclusive events,ChatGPT,0.666,1,495,11,0.333
166,Find a linear equation,Human tutor,0,0,1384,11,0
167,Solve Equations Using the Subtraction and Addition Properties of Equality,No-hint control,0.666,0.666,302,11,0
168,Independent and mutually exclusive events,ChatGPT,0.666,0.333,797,11,-0.333
169,Solve Equations Using the Subtraction and Addition Properties of Equality,ChatGPT,0.666,1,245,11,0.333
170,Find a linear equation,ChatGPT,0.333,0.333,573,11,0
171,Solve linear equations using a general strategy,ChatGPT,0.666,0.333,850,11,-0.333
172,Find a linear equation,Human tutor,0,0,700,11,0
173,Solve Equations Using the Subtraction and Addition Properties of Equality,Human tutor,0.666,1,451,11,0.333
174,Independent and mutually exclusive events,No-hint control,0.333,0,233,11,-0.333
175,Independent and mutually exclusive events,ChatGPT,0,0.333,421,11,0.333
176,Independent and mutually exclusive events,Human tutor,0.666,1,608,11,0.333
177,Solve linear equations using a general strategy,No-hint control,1,0.666,483,11,-0.333
178,Solve linear equations using a general strategy,Human tutor,0.666,1,307,11,0.333
179,Independent and mutually exclusive events,No-hint control,0.333,0.666,333,11,0.333
180,Independent and mutually exclusive events,No-hint control,0.666,0.666,848,11,0
181,Solve Equations Using the Subtraction and Addition Properties of Equality,No-hint control,0.666,0.666,406,11,0
182,Solve linear equations using a general strategy,Human tutor,0.666,1,403,11,0.333
183,Independent and mutually exclusive events,Human tutor,0,0.333,450,11,0.333
184,Independent and mutually exclusive events,Human tutor,0.333,0.666,1312,11,0.333
185,Solve linear equations using a general strategy,ChatGPT,0.666,0.666,215,11,0
186,Independent and mutually exclusive events,No-hint control,1,1,740,11,0
187,Independent and mutually exclusive events,Human tutor,0.666,1,1202,11,0.333
188,Solve Equations Using the Subtraction and Addition Properties of Equality,No-hint control,0,0.666,412,11,0.666
189,Find a linear equation,ChatGPT,0,0,1202,11,0
190,Solve Equations Using the Subtraction and Addition Properties of Equality,Human tutor,0.666,1,374,11,0.333
191,Solve Equations Using the Subtraction and Addition Properties of Equality,No-hint control,1,1,340,11,0
192,Solve Equations Using the Subtraction and Addition Properties of Equality,No-hint control,1,1,384,11,0
193,Solve linear equations using a general strategy,ChatGPT,0.333,1,477,11,0.667
194,Independent and mutually exclusive events,No-hint control,0.333,0.333,312,11,0
195,Solve linear equations using a general strategy,Human tutor,1,1,249,11,0
196,Find a linear equation,No-hint control,0.333,0,228,11,-0.333
197,Find a linear equation,ChatGPT,0,0,457,11,0
198,Find a linear equation,ChatGPT,0,0.333,937,11,0.333
199,Solve linear equations using a general strategy,No-hint control,0.666,0.333,688,11,-0.333
200,Independent and mutually exclusive events,Human tutor,0.333,0.333,199,11,0
201,Solve Equations Using the Subtraction and Addition Properties of Equality,No-hint control,0.333,1,488,11,0.667
202,Independent and mutually exclusive events,ChatGPT,0.666,0.666,288,11,0
203,Solve Equations Using the Subtraction and Addition Properties of Equality,Human tutor,0,1,726,11,1
204,Independent and mutually exclusive events,ChatGPT,0.333,0.666,198,11,0.333
205,Independent and mutually exclusive events,No-hint control,0.333,0.333,334,11,0
206,Independent and mutually exclusive events,Human tutor,1,0.333,670,11,-0.667
207,Independent and mutually exclusive events,No-hint control,0.333,0,87,11,-0.333
208,Independent and mutually exclusive events,ChatGPT,0.666,0.666,315,11,0
209,Solve Equations Using the Subtraction and Addition Properties of Equality,No-hint control,0.666,1,199,11,0.333
210,Independent and mutually exclusive events,ChatGPT,0,0.333,233,11,0.333
211,Find a linear equation,No-hint control,0.333,0.666,368,11,0.333
212,Find a linear equation,ChatGPT,1,1,206,11,0
213,Independent and mutually exclusive events,ChatGPT,0.333,0.666,1094,11,0.333
214,Find a linear equation,No-hint control,1,0.333,561,11,-0.667
215,Independent and mutually exclusive events,Human tutor,0.333,0.666,558,11,0.333
216,Solve linear equations using a general strategy,Human tutor,0.333,1,838,11,0.667
217,Independent and mutually exclusive events,Human tutor,0,1,539,11,1
218,Find a linear equation,ChatGPT,0,0,814,11,0
219,Solve Equations Using the Subtraction and Addition Properties of Equality,No-hint control,1,1,315,11,0
220,Find a linear equation,ChatGPT,0,0,741,11,0
221,Solve Equations Using the Subtraction and Addition Properties of Equality,ChatGPT,0,1,511,11,1
222,Independent and mutually exclusive events,No-hint control,0.333,0.333,251,11,0
223,Find a linear equation,Human tutor,0.333,1,896,11,0.667
224,Solve linear equations using a general strategy,Human tutor,1,0.666,322,11,-0.333
225,Solve Equations Using the Subtraction and Addition Properties of Equality,No-hint control,0.666,1,235,11,0.333
226,Find a linear equation,ChatGPT,0,0.333,674,11,0.333
227,Solve linear equations using a general strategy,No-hint control,0.333,0.333,335,11,0
228,Independent and mutually exclusive events,No-hint control,0.333,0,239,11,-0.333
229,Solve linear equations using a general strategy,Human tutor,0.666,1,587,11,0.333
230,Independent and mutually exclusive events,Human tutor,0.666,0.666,1517,11,0
231,Solve linear equations using a general strategy,Human tutor,0.333,0.666,599,11,0.333
232,Solve linear equations using a general strategy,ChatGPT,0.666,1,608,11,0.333
233,Solve linear equations using a general strategy,ChatGPT,0.666,0.333,819,11,-0.333
234,Solve Equations Using the Subtraction and Addition Properties of Equality,ChatGPT,0.333,0.666,253,11,0.333
235,Find a linear equation,No-hint control,1,1,351,11,0
236,Solve linear equations using a general strategy,No-hint control,1,1,406,11,0
237,Find a linear equation,ChatGPT,0,0,2774,11,0
238,Find a linear equation,Human tutor,0.333,0,882,11,-0.333
239,Solve Equations Using the Subtraction and Addition Properties of Equality,No-hint control,0.333,1,420,11,0.667
240,Solve linear equations using a general strategy,ChatGPT,1,0.666,244,11,-0.333
241,Solve Equations Using the Subtraction and Addition Properties of Equality,No-hint control,0.666,1,309,11,0.333
242,Solve Equations Using the Subtraction and Addition Properties of Equality,ChatGPT,0,1,834,11,1
243,Solve Equations Using the Subtraction and Addition Properties of Equality,ChatGPT,0.666,1,563,11,0.333
244,Independent and mutually exclusive events,ChatGPT,0.333,0.666,647,11,0.333
245,Find a linear equation,ChatGPT,0.666,1,812,11,0.333
246,Independent and mutually exclusive events,Human tutor,0.333,0.333,315,11,0
247,Find a linear equation,Human tutor,0.333,0.666,420,11,0.333
248,Solve Equations Using the Subtraction and Addition Properties of Equality,No-hint control,0.333,0.666,318,11,0.333
249,Solve linear equations using a general strategy,Human tutor,1,1,450,11,0
250,Find a linear equation,Human tutor,0,0,1232,11,0
251,Solve linear equations using a general strategy,No-hint control,0.666,1,441,11,0.333
252,Solve linear equations using a general strategy,ChatGPT,0.666,0.666,911,11,0
253,Solve Equations Using the Subtraction and Addition Properties of Equality,ChatGPT,1,1,266,11,0
254,Independent and mutually exclusive events,Human tutor,0.333,0.333,416,11,0
255,Independent and mutually exclusive events,ChatGPT,0,0.333,286,11,0.333
256,Solve Equations Using the Subtraction and Addition Properties of Equality,No-hint control,0,0.666,264,11,0.666
257,Find a linear equation,No-hint control,0.333,0,178,11,-0.333
258,Solve Equations Using the Subtraction and Addition Properties of Equality,Human tutor,1,1,373,11,0
259,Solve linear equations using a general strategy,Human tutor,0.666,1,331,11,0.333
260,Solve linear equations using a general strategy,Human tutor,1,0.666,264,11,-0.333
261,Solve Equations Using the Subtraction and Addition Properties of Equality,No-hint control,1,1,238,11,0
262,Solve linear equations using a general strategy,Human tutor,0.666,1,328,11,0.333
263,Solve Equations Using the Subtraction and Addition Properties of Equality,No-hint control,1,1,347,11,0
264,Find a linear equation,Human tutor,1,1,374,11,0
265,Solve linear equations using a general strategy,Human tutor,0.666,1,1272,11,0.333
266,Solve linear equations using a general strategy,No-hint control,1,1,443,11,0
267,Independent and mutually exclusive events,Human tutor,0,0.333,459,11,0.333
268,Independent and mutually exclusive events,ChatGPT,0.333,0.333,341,11,0
269,Solve Equations Using the Subtraction and Addition Properties of Equality,ChatGPT,0,1,490,11,1
270,Find a linear equation,ChatGPT,0,0.333,797,11,0.333
271,Find a linear equation,No-hint control,0,0,208,11,0
272,Solve Equations Using the Subtraction and Addition Properties of Equality,ChatGPT,0.333,0,482,11,-0.333
273,Solve Equations Using the Subtraction and Addition Properties of Equality,ChatGPT,1,1,324,11,0
274,Find a linear equation,ChatGPT,0.666,0.333,957,11,-0.333
